time_brute_force,total_time_with_analysis,analysis_time,time_mc_refined,diff
3746.714608192444,252.07121300697327,114.69715881347656,137.3740541934967,14.863714755436176
7.148742914199829,20.62122392654419,20.113627910614014,0.5075960159301758,-2.8845944208713172
12.86493182182312,32.08484148979187,28.82097887992859,3.2638626098632812,-2.4939767994234927
0.67936110496521,1.2832629680633545,1.0758600234985352,0.20740294456481934,-1.8889261670773312
3242.8072187900543,268.38998007774353,4.620677947998047,263.7693021297455,12.082445171204686
1877.9502000808716,92.74147605895996,4.161579132080078,88.57989692687988,20.24930246836888
3.9193830490112305,2.524885892868042,2.1384968757629395,0.38638901710510254,1.5523010604487817
108.09530305862427,10.686232089996338,4.874563217163086,5.811668872833252,10.115380439829218
268.28847312927246,142.602135181427,95.19255304336548,47.40958213806152,1.8813776721361133
2.7907402515411377,42.517197132110596,41.3763210773468,1.140876054763794,-15.235096533484697
147.84817004203796,47.66025710105896,2.6809401512145996,44.97931694984436,3.102126992906065
4959.997747898102,1309.0582718849182,2.809957981109619,1306.2483139038086,3.7889816323884355
37.42547607421875,112.4480812549591,98.61922717094421,13.828854084014893,-3.0045865290253744
634.1349868774414,118.32960414886475,92.52268409729004,25.806920051574707,5.359056099601811
1356.915636062622,116.90796685218811,2.5663769245147705,114.34158992767334,11.60669946281959
81.66115713119507,22.956079959869385,15.245949029922485,7.710130929946899,3.557277953115289
998.9823598861694,73.88083505630493,11.719305992126465,62.16152906417847,13.521535850601042
