,TestName,TotalNumberOfProperties,SizeMinimalSet,time
0,ParallelRers2019Ctl_0,20,16,0.2097
1,ParallelRers2019Ctl_1,20,13,0.1708
2,ParallelRers2019Ctl_3,20,14,0.1146
3,ParallelRers2019Ctl_4,20,11,0.1539
4,ParallelRers2019Ctl_5,20,16,0.1045
5,ParallelRers2019Ctl_6,20,12,0.2105
6,ParallelRers2019Ctl_7,20,16,0.1918
7,ParallelRers2019Ctl_8,20,16,0.2092
8,ParallelRers2019Ctl_9,20,15,0.1712
9,T2,28,16,0.2212
