,TestName,TotalNumberOfProperties,SizeMinimalSet,time
0,m106_ctl_ind_properties,20,17,2.2892
1,m131_ctl_ind_properties,20,19,2.6371
2,m132_ctl_ind_properties,20,19,9.1194
3,m135_ctl_ind_properties,20,12,2.1036
4,m158_ctl_ind_properties,20,12,1.7419
5,m159_ctl_ind_properties,20,12,1.9774
6,m164_ctl_ind_properties,20,15,1.8359
7,m167_ctl_ind_properties,20,15,1.8556
8,m172_ctl_ind_properties,20,13,5.2547
9,m173_ctl_ind_properties,20,17,4.9286
10,m181_ctl_ind_properties,20,18,3.6144
11,m182_ctl_ind_properties,20,17,4.9991
12,m183_ctl_ind_properties,19,8,1.3244
13,m185_ctl_ind_properties,20,13,3.7724
14,m189_ctl_ind_properties,20,18,5.9218
15,m190_ctl_ind_properties,20,16,5.9032
16,m196_ctl_ind_properties,20,15,2.3184
17,m199_ctl_ind_properties,20,8,2.1287
18,m201_ctl_ind_properties,20,15,3.4682
19,m22_ctl_ind_properties,20,16,2.3518
20,m24_ctl_ind_properties,20,19,3.1161
21,m27_ctl_ind_properties,20,16,4.3123
22,m41_ctl_ind_properties,20,15,1.917
23,m45_ctl_ind_properties,20,17,2.7855
24,m49_ctl_ind_properties,20,14,2.5134
25,m54_ctl_ind_properties,20,14,1.9825
26,m55_ctl_ind_properties,20,12,6.9672
27,m65_ctl_ind_properties,20,19,5.0435
28,m76_ctl_ind_properties,20,14,2.5217
29,m95_ctl_ind_properties,20,14,1.8423
